,total
1,1300
2,1255
3,4174
4,735
5,1043
6,8237
7,1591
8,1203
9,1425
10,1595
11,2795
12,1433
13,956
14,1094
15,1532
16,1192
17,2748
18,1854
19,2888
20,1730
21,2295
22,2161
23,0
24,1
25,3
1,1597
2,1503
3,3561
4,944
5,416
6,5406
7,1827
8,1593
9,1798
10,1912
11,2295
12,1666
13,1237
14,1323
15,2150
16,1555
17,2784
18,3173
19,4093
20,2004
21,2578
22,2328
23,0
24,1
25,3
1,2943
2,3203
3,6290
4,1469
5,918
6,8907
7,4419
8,1860
9,2099
10,1779
11,4113
12,2386
13,1944
14,1898
15,2812
16,1766
17,4087
18,2553
19,3531
20,2475
21,3756
22,3270
23,0
24,0
25,0
1,2188
2,2876
3,6294
4,1400
5,944
6,8307
7,4307
8,1940
9,2188
10,1866
11,3718
12,2893
13,1725
14,1743
15,3095
16,1477
17,3385
18,3269
19,4053
20,2157
21,3452
22,3292
23,0
24,0
25,0
1,1024
2,945
3,4349
4,632
5,1079
6,8042
7,1276
8,1214
9,1740
10,1126
11,2414
12,1186
13,893
14,984
15,1951
16,604
17,3052
18,1260
19,2682
20,939
21,2234
22,1775
23,0
24,404
25,515
1,1302
2,1134
3,4874
4,973
5,1089
6,8113
7,1380
8,1962
9,1357
10,1613
11,2680
12,1409
13,1009
14,1056
15,1966
16,760
17,3033
18,1614
19,2499
20,1412
21,2625
22,1541
23,0
24,517
25,546
1,1785
2,1396
3,4204
4,1205
5,1048
6,5985
7,1846
8,1729
9,1811
10,1813
11,1747
12,2072
13,1143
14,1264
15,1990
16,1340
17,2185
18,1465
19,2586
20,1648
21,2035
22,2069
23,0
24,428
25,725
1,1370
2,1566
3,4056
4,1033
5,416
6,5264
7,1860
8,1538
9,1743
10,1582
11,2547
12,1845
13,946
14,1259
15,1638
16,1145
17,2590
18,1619
19,2720
20,1510
21,2397
22,2459
23,0
24,423
25,661
1,5629
2,4513
3,4044
4,368
5,628
6,1084
7,697
8,1320
9,1335
10,923
11,1115
12,807
13,328
14,1015
15,709
16,2339
17,405
18,1538
19,2486
20,563
21,393
22,826
23,1275
24,1293
25,918
26,847
27,1114
28,2086
29,4250
30,5028
31,5466
32,847
33,798
34,2244
35,472
36,1068
37,1208
