,Murder,Robbery,Rape,Dowry,Accident,Kidnapping,Suicide
1,57,595,92,7,342,190,17
2,111,449,155,8,400,114,18
3,119,3187,227,22,0,594,25
4,45,344,99,7,130,90,20
5,30,916,18,4,60,6,9
6,159,6461,460,20,576,542,19
7,97,851,141,7,387,100,8
8,79,611,158,19,240,76,20
9,99,842,101,10,189,164,20
10,55,942,185,7,126,266,14
11,135,1554,292,14,201,584,15
12,89,845,90,6,256,122,25
13,48,553,53,13,221,44,24
14,82,455,163,20,243,106,25
15,104,906,94,0,270,158,0
16,44,472,102,3,111,453,7
17,87,1663,243,12,320,409,14
18,72,1289,144,5,224,80,40
19,113,2053,204,13,231,239,35
20,94,1172,105,5,187,132,35
21,142,1419,153,15,365,146,55
22,68,1404,121,10,142,388,28
23,0,0,0,0,0,0,0
24,0,0,0,1,0,0,0
25,0,0,0,3,0,0,0
1,64,890,184,10,264,166,19
2,22,886,192,12,163,204,24
3,137,2017,401,13,295,660,38
4,15,618,82,4,122,78,25
5,40,314,11,4,8,8,31
6,150,4032,271,20,491,396,46
7,94,1263,152,8,148,126,36
8,80,1056,102,16,258,48,33
9,90,1229,68,13,203,164,31
10,51,1197,114,12,255,266,17
11,157,975,237,15,365,518,28
12,66,1098,121,9,235,112,25
13,82,709,110,10,176,130,20
14,86,642,197,8,235,146,9
15,144,1075,164,22,544,182,19
16,71,962,72,2,120,320,8
17,119,2007,151,9,312,156,30
18,38,2565,177,9,236,120,28
19,133,3045,168,13,198,489,47
20,89,1542,158,5,124,63,23
21,152,1472,192,15,380,323,44
22,69,1449,139,10,204,426,31
23,0,0,0,0,0,0,0
24,0,0,0,1,0,0,0
25,0,0,0,3,0,0,0
1,74,2106,177,17,292,236,41
2,111,2514,142,12,200,204,20
3,108,5040,307,20,0,768,47
4,35,1061,82,7,190,78,16
5,32,792,3,8,60,8,15
6,155,7263,364,19,576,496,34
7,118,3567,168,14,387,146,19
8,130,1215,170,25,240,48,32
9,82,1612,75,12,139,164,15
10,71,1062,100,10,226,266,44
11,90,2722,310,17,301,658,15
12,48,1815,114,6,256,122,25
13,53,1332,79,15,321,114,30
14,103,1117,257,5,243,150,23
15,119,2096,150,16,270,124,37
16,26,1273,110,5,126,192,34
17,87,3334,204,18,226,200,18
18,60,1863,139,11,224,228,28
19,144,2716,207,16,231,170,47
20,67,1881,154,5,187,154,27
21,185,2683,189,28,465,166,40
22,65,2297,157,7,242,472,30
23,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0
1,69,1581,78,10,243,190,17
2,88,2280,139,18,209,114,28
3,125,4934,393,24,199,594,25
4,47,1081,64,3,95,90,20
5,37,872,3,4,13,6,9
6,190,6727,402,12,415,542,19
7,107,3641,165,13,233,140,8
8,94,1292,183,5,250,76,40
9,90,1649,94,13,162,120,60
10,64,1172,91,11,151,336,41
11,114,2568,171,15,286,518,46
12,56,2309,82,9,240,112,85
13,65,1219,100,10,157,130,44
14,41,1213,180,8,130,146,25
15,116,2661,113,22,1,182,0
16,20,962,72,2,94,320,7
17,99,2707,151,9,249,156,14
18,85,2565,177,9,243,120,70
19,126,3045,168,14,183,482,35
20,81,1542,158,5,124,132,115
21,146,2472,192,20,380,146,96
22,64,2449,139,7,204,388,41
23,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0
1,20,595,102,8,219,65,15
2,52,449,195,12,152,60,25
3,167,3187,257,23,298,387,30
4,25,344,69,4,109,58,23
5,44,916,18,4,11,49,37
6,170,6461,467,29,481,400,34
7,64,851,141,8,151,43,18
8,70,611,136,16,251,108,22
9,40,858,71,7,401,322,41
10,71,649,85,12,162,127,20
11,167,1359,169,13,347,312,47
12,46,742,83,4,243,52,16
